Epoch,Step,Total Loss,Style Loss,Content Loss
4,44,[1.4650239e+09],1464592600.0,[431223.8]
4,45,[1.4603827e+09],1459951600.0,[431111.12]
4,46,[1.4558348e+09],1455403800.0,[430995.12]
4,47,[1.4512456e+09],1450814700.0,[430875.34]
4,48,[1.4464796e+09],1446048900.0,[430751.72]
4,49,[1.4415077e+09],1441077100.0,[430624.03]
4,50,[1.4363395e+09],1435909000.0,[430492.47]
4,51,[1.4310202e+09],1430589800.0,[430357.03]
4,52,[1.4256191e+09],1425188900.0,[430218.06]
4,53,[1.4202047e+09],1419774600.0,[430075.72]
4,54,[1.414862e+09],1414432000.0,[429930.62]
4,55,[1.4096658e+09],1409236000.0,[429783.56]
4,56,[1.404661e+09],1404231300.0,[429635.25]
4,57,[1.3998609e+09],1399431400.0,[429487.4]
4,58,[1.3952563e+09],1394827000.0,[429341.97]
4,59,[1.3908443e+09],1390415100.0,[429199.28]
4,60,[1.3866237e+09],1386194700.0,[429060.3]
4,61,[1.3826093e+09],1382180400.0,[428926.16]
4,62,[1.3787802e+09],1378351400.0,[428797.97]
4,63,[1.3750139e+09],1374585200.0,[428675.5]
4,64,[1.3711876e+09],1370759000.0,[428559.2]
4,65,[1.3671899e+09],1366761500.0,[428449.16]
4,66,[1.3629347e+09],1362506400.0,[428345.38]
4,67,[1.3584787e+09],1358050400.0,[428246.66]
4,68,[1.3539084e+09],1353480200.0,[428152.38]
4,69,[1.3494214e+09],1348993400.0,[428061.8]
4,70,[1.3451692e+09],1344741100.0,[427973.97]
4,71,[1.3412833e+09],1340855400.0,[427887.2]
4,72,[1.3377682e+09],1337340400.0,[427800.53]
4,73,[1.3345774e+09],1334149600.0,[427712.97]
4,74,[1.3315274e+09],1331099800.0,[427622.94]
4,75,[1.3284317e+09],1328004200.0,[427529.03]
4,76,[1.3251643e+09],1324736900.0,[427429.75]
4,77,[1.3216134e+09],1321186200.0,[427324.22]
4,78,[1.3177253e+09],1317298000.0,[427212.06]
4,79,[1.3135177e+09],1313090600.0,[427093.8]
4,80,[1.309101e+09],1308674000.0,[426969.72]
4,81,[1.3046299e+09],1304203000.0,[426840.16]
4,82,[1.3002422e+09],1299815400.0,[426706.2]
4,83,[1.2960239e+09],1295597300.0,[426568.6]
4,84,[1.2920303e+09],1291604000.0,[426429.12]
4,85,[1.2882591e+09],1287832800.0,[426288.88]
4,86,[1.284626e+09],1284200000.0,[426149.47]
4,87,[1.2810228e+09],1280596900.0,[426012.2]
4,88,[1.2773294e+09],1276903600.0,[425878.3]
4,89,[1.2735393e+09],1273113600.0,[425749.]
4,90,[1.2696809e+09],1269255300.0,[425624.2]
4,91,[1.2658445e+09],1265419000.0,[425503.8]
4,92,[1.2620996e+09],1261674200.0,[425388.]
4,93,[1.2585308e+09],1258105600.0,[425276.4]
4,94,[1.2551005e+09],1254675300.0,[425168.7]
4,95,[1.251757e+09],1251332000.0,[425064.2]
4,96,[1.248409e+09],1247984000.0,[424961.72]
4,97,[1.2450249e+09],1244600000.0,[424860.8]
4,98,[1.2415478e+09],1241123100.0,[424761.]
4,99,[1.2379606e+09],1237535900.0,[424661.25]
4,100,[1.2342737e+09],1233849100.0,[424561.34]
